SYMBOL,NAME,WHITEPAPER
STX,Stox,https://resources.stox.com/stox-whitepaper.pdf
WABI,WaBi,https://resources.wacoin.io/WaBI_Whitepaper_ENG.pdf
RCN,Ripio Credit Network,https://ripiocredit.network/wp/RCN%20Whitepaper%20ENG.pdf
XRP,Ripple,https://ripple.com/files/ripple_solutions_guide.pdf
SENT,Sentinel,https://s3-ap-southeast-1.amazonaws.com/sentinelprotocol.io/whitepapers/Sentinel+Protocol+Whitepaper+English.pdf
UTK,UTRUST,https://s3-eu-west-1.amazonaws.com/utrust/whitepaper/en/UTRUST-whitepaper-en-2017-11-02.pdf
STORM,Storm,https://s3.amazonaws.com/cakecodes/pdf/storm_web/STORM_Token_White_Paper_Market_Research_Network_Development_vFINAL_.pdf
DATA,Streamr DATAcoin,https://s3.amazonaws.com/streamr-public/streamr-datacoin-whitepaper-2017-07-25-v1_0.pdf
WAVES,Waves,https://s3.ca-central-1.amazonaws.com/wavesdb.com/images/whitepaper_v0.pdf
THETA,Theta Token,https://s3.us-east-2.amazonaws.com/assets.thetatoken.org/Theta-white-paper-latest.pdf
KEY,Selfkey,https://selfkey.org/wp-content/uploads/2017/11/selfkey-whitepaper-en.pdf
SENC,Sentinel Chain,https://sentinel-chain.org/Sentinel.Chain.Whitepaper.v0_31.1.pdf
SC,Siacoin,https://sia.tech/sia.pdf
SRN,SIRIN LABS Token,https://sirinlabs.com/media/SIRINLABS_-_White_Paper.pdf
SMT,SmartMesh,https://smartmesh.io/SmartMeshWhitePaperEN.pdf
SPANK,SpankChain,https://spankchain.com/static/whitepaper.13abf6d4.pdf
TAAS,TaaS,https://static.taas.fund/media/white_paper/2018/01/29/TaaSWhitepaperv.1.0.pdf
UKG,Unikoin Gold,https://static.unikrn.com/4242/unikrn_bm/doc/whitepaper_en.pdf
BITG,Bitcoin Green,https://static1.squarespace.com/static/5aa6e7c2372b96538f12ae65/t/5ae9428aaa4a990f065aa382/1525236364679/BITG_Whitepaper_May2.pdf
SNT,Status,https://status.im/whitepaper.pdf
SBD,Steem Dollars,https://steem.io/steem-whitepaper.pdf
STEEM,Steem,https://steem.io/SteemWhitePaper.pdf
BNT,Bancor,https://storage.googleapis.com/website-bancor/2018/04/01ba8253-bancor_protocol_whitepaper_en.pdf
STORJ,Storj,https://storj.io/storj.pdf
STRAT,Stratis,https://stratisplatform.com/files/Stratis_Whitepaper.pdf
SNC,SunContract,https://suncontract.org/res/whitepaper.pdf
SWM,Swarm,https://swarmfund.blob.core.windows.net/swarmassets/swarm-whitepaper-v081.pdf
BCO,BridgeCoin,https://sweetbridge.com/public/docs/Sweetbridge-Whitepaper.pdf
AMP,Synereo,https://synereo.com/wp-content/uploads/WhitePaper.pdf
SYS,Syscoin,https://syscoin.org/Syscoin_3.0_Whitepaper__Condensed.pdf
XTZ,Tezos,https://tezos.com/static/papers/white_paper.pdf
HOT,Hydro Protocol,https://thehydrofoundation.com/Hydro-Whitepaper-v0116-en.pdf
TNB,Time New Bank,https://tnb.fund/pdf/TNB_business_white_paper_en.pdf?v=1.0.1
TKN,TokenCard,https://tokencard.io/tokencard_whitepaper.pdf
CVC,Civic,https://tokensale.civic.com/CivicTokenSaleWhitePaper.pdf
PRO,Propy,https://tokensale.propy.com/Propy-White-Paper-17-Jul-2017.pdf
TNT,Tierion,https://tokensale.tierion.com/TierionTokenSaleWhitePaper.pdf
TOMO,TomoChain,https://tomochain.com/docs/technical-whitepaper--1.0.pdf
TNC,Trinity Network Credit,https://trinity.tech/file/WhitePaperDraft.pdf
UUU,U Network,https://u.network/U_whitepaper_en.pdf
POE,Po.et,https://uploads-ssl.webflow.com/5a0c978e0d22aa0001464356/5a7796662b07370001ace7a1_whitepaper.pdf
UP,UpToken,https://uptoken.org/UpToken-whitepaper.pdf
XVG,Verge,https://vergecurrency.com/static/blackpaper/Verge-Anonymity-Centric-CryptoCurrency.pdf
VIBE,VibeHub,https://vibehub.io/VibeHubWhitepaper2017.pdf
WAN,Wanchain,https://wanchain.org/files/Wanchain-Whitepaper-EN-version.pdf
WAX,WAX,https://wax.io/documents/WAX_White_Paper.pdf?1525992718359
WINGS,Wings,https://wingsfoundation.ch/docs/WINGS_Whitepaper_V1.1.2_en.pdf
ACT,Achain,https://www.achain.com/Achain%20Whitepaper%202.0_EN.pdf
ADX,AdEx,https://www.adex.network/adex/AdEx-Whitepaper-v.7.pdf
ACAT,Alphacat,https://www.alphacat.io/Alphacat-WhitePaper_EN.pdf
ABT,Arcblock,https://www.arcblock.io/whitepaper/ico/WhitePaperEnV2.pdf
BANCA,Banca,https://www.banca.world/A_UpLoad/upload_file/20180424/20180424155717_1837.pdf
BIX,Bibox,https://www.bibox365.com/static/pdf/Bibox_Whitepaper_en.pdf
BNB,Binance Coin,https://www.binance.com/resources/ico/Binance_WhitePaper_en.pdf
BCPT,BlockMason,https://www.blockmason.io/cp-whitepaper.pdf
BLOCK,Blocknet,https://www.blocknet.co/wp-content/uploads/2018/04/whitepaper.pdf
TRIG,Triggers,https://www.blocksafefoundation.com/assets/blocksafe_whitepaper_v.1.pdf
BOT,Bodhi,https://www.bodhi.network/file/whitepaper/Bodhi_English_White_Paper.pdf
BRM,BrahmaOS,https://www.brahmaos.io/Brahma_Whitepaper_Latest.pdf
BURST,Burst,https://www.burst-coin.org/wp-content/uploads/2017/07/The-Burst-Dymaxion-1.00.pdf
CENNZ,Centrality,https://www.centrality.ai/wp-content/uploads/2018/01/Centrality-Whitepaper-final-2018020.pdf
CLOAK,CloakCoin,https://www.cloakcoin.com/user/themes/g5_cloak/resources/CloakCoin_Whitepaper_v2.1.pdf
CPC,CPChain,https://www.cpchain.io/CPChain_Whitepaper_English.pdf
CMCT,Crowd Machine,https://www.crowdmachine.com/wp-content/uploads/2017/11/Crowd-Machine-Whitepaper.pdf
CMT,CyberMiles,https://www.cybermiles.io/wp-content/uploads/2018/03/Technical-Whitepaper_en-US.pdf
DATX,DATx,https://www.datx.co/pdf/DATX+WHITEPAPER+(EN)%20V1.0.pdf
DBC,DeepBrain Chain,https://www.deepbrainchain.org/assets/pdf/DeepBrainChainWhitepaper_en.pdf
DEW,DEW,https://www.dewcoin.co/dewcoin-whitepaper.pdf
DIM,Dimcoin,https://www.dimcoin.io/wp-content/themes/dimcoin/images/docs/DIMCOIN-whitepaper.pdf
DIME,Dimecoin,https://www.dimecoinnetwork.com/dime/dimecoin.pdf
DIVX,Divi,https://www.diviproject.org/assets/files/wp-en.pdf
NXT,Nxt,https://www.dropbox.com/s/cbuwrorf672c0yy/NxtWhitepaper_v122_rev4.pdf
ELA,Elastos,https://www.elastos.org/wp-content/uploads/2018/White%20Papers/elastos_whitepaper_en.pdf?_t=1526235330
EVN,Envion,https://www.envion.org/en/download/envion_whitepaper.pdf
ETHOS,Ethos,https://www.ethos.io/Ethos_Whitepaper.pdf
HXX,Hexx,https://www.hexxcoin.net/WP.pdf
HVN,Hive Project,https://www.hive-project.net/whitepapers/Hive_Project_Whitepaper.pdf
IXT,iXledger,https://www.ixledger.com/wp-content/uploads/2017/05/insurex_whitepaper.pdf
ARDR,Ardor,https://www.jelurida.com/sites/default/files/JeluridaWhitepaper.pdf
IGNIS,Ignis,https://www.jelurida.com/sites/default/files/JeluridaWhitepaper.pdf
LEO,LEOcoin,https://www.leocoin.org/media/1027LEOcoinWhitePaper_V2.pdf
LET,LinkEye,https://www.linkeye.com/static/whitePaper/WhitePaperofLinkEye.pdf
LYM,Lympo,https://www.lympo.io/whitepaper-lympo.pdf
ART,Maecenas,https://www.maecenas.co/Maecenas-WhitePaper.pdf
MAN,Matrix AI Network,https://www.matrix.io/html/MATRIXTechnicalWhitePaper.pdf
BITB,Bean Cash,https://www.mercuryprotocol.com/files/Mercury_Protocol_whitepaper.pdf
MTL,Metal,https://www.metalpay.com/assets/pdf/whitepaper.pdf
NXS,Nexus,https://www.nexusearth.com/downloads/nexus-peer-peer.pdf
NKN,NKN,https://www.nkn.org/doc/NKN_Whitepaper.pdf
RNT,OneRoot Network,https://www.oneroot.io/static/pdf/whitepaperEN.pdf
PPP,PayPie,https://www.paypie.com/Content/files/PayPie-Whitepaper-English.pdf
PPY,Peerplays,https://www.peerplays.com/docs/Peerplays_Whitepaper.pdf
POT,PotCoin,https://www.potcoin.com/images/blog-images/PotCoin-4.20.2016.pdf
PRE,Presearch,https://www.presearch.io/uploads/WhitePaper.pdf
RDD,ReddCoin,https://www.reddcoin.com/papers/PoSV.pdf
RPX,Red Pulse,https://www.redpulse.com/static/files/redpulse-whitepaper-v1.11-en.pdf
SSC,SelfSell,https://www.selfsell.com/SelfSellWhitePaperV1.0.pdf
XLM,Stellar,https://www.stellar.org/papers/stellar-consensus-protocol.pdf
TEL,Telcoin,https://www.telco.in/docs/whitepaper.pdf
PAY,TenX,https://www.tenx.tech/whitepaper/tenx_whitepaper_final.pdf
TPAY,TokenPay,https://www.tokenpay.com/whitepaper.pdf
TRUE,TrueChain,https://www.truechain.pro/EnTruechain.pdf
UTNP,Universa,https://www.universa.io/files/whitepaper.pdf?v=1.3
WGR,Wagerr,https://www.wagerr.com/wagerr_whitepaper_v1.pdf
WTC,Waltonchain,https://www.waltonchain.org/doc/Waltonchain-whitepaper_en_20180208.pdf
WICC,WaykiChain,https://www.waykichain.com/Whitepaper_en.pdf
DCT,DECENT,https://www.weusecoins.com/assets/pdf/library/Decentralized%20Open-Source%20Content%20Distribution%20(DECENT)%20whitepaper.pdf
ZCO,Zebi,https://www.zebi.io/assets/wp.pdf
ZPT,Zeepin,https://www.zeepin.io/Zeepin_Whitepaper.pdf
XSN,Stakenet,https://xsncoin.io/Whitepaper_2.0.pdf
XBY,XTRABYTES,https://xtrabytes.global/build/files/whitepaper.pdf
XCZ,Zcoin,https://zcoin.io/wp-content/uploads/2016/11/zerocoinwhitepaper.pdf
ZEN,ZenCash,https://zencash.com/assets/files/Zen-Application-Platform-Whitepaper.pdf
ZOI,Zoin,https://zoinofficial.com/docs/Zoin-Whitepaper.pdf
ZSC,Zeusshield,https://zsc.io/files/ZSC_Whitepaper_en.pdf
UBQ,Ubiq,https://s3.amazonaws.com/cryptocurrency-whitepapers/Ubiq.pdf
AEON,Aeon,https://s3.amazonaws.com/cryptocurrency-whitepapers/Aeon.pdf
ANT,Aragon,https://s3.amazonaws.com/cryptocurrency-whitepapers/Aragon.pdf
ARN,Aeron,https://s3.amazonaws.com/cryptocurrency-whitepapers/Aeron.pdf
AST,AirSwap,https://s3.amazonaws.com/cryptocurrency-whitepapers/AirSwap.pdf
BAY,BitBay,https://s3.amazonaws.com/cryptocurrency-whitepapers/BitBay.pdf
BLZ,Bluzelle,https://s3.amazonaws.com/cryptocurrency-whitepapers/Bluzelle.pdf
BNTY,Bounty0x,https://s3.amazonaws.com/cryptocurrency-whitepapers/Bounty0x.pdf
BTM,Bytom,https://s3.amazonaws.com/cryptocurrency-whitepapers/Bytom.pdf
BTO,Bottos,https://s3.amazonaws.com/cryptocurrency-whitepapers/Bottos.pdf
BTS,BitShares,https://s3.amazonaws.com/cryptocurrency-whitepapers/BitShares.pdf
CDT,Blox,https://s3.amazonaws.com/cryptocurrency-whitepapers/Blox.pdf
CNX,Cryptonex,https://s3.amazonaws.com/cryptocurrency-whitepapers/Cryptonex.pdf
CRPT,Crypterium,https://s3.amazonaws.com/cryptocurrency-whitepapers/Crypterium.pdf
CSC,CasinoCoin,https://s3.amazonaws.com/cryptocurrency-whitepapers/CasinoCoin.pdf
CVT,CyberVein,https://s3.amazonaws.com/cryptocurrency-whitepapers/CyberVein.pdf
DADI,DADI,https://s3.amazonaws.com/cryptocurrency-whitepapers/DADI.pdf
DAI,Dai,https://s3.amazonaws.com/cryptocurrency-whitepapers/Dai.pdf
DASH,Dash,https://s3.amazonaws.com/cryptocurrency-whitepapers/Dash.pdf
DAX,DAEX,https://s3.amazonaws.com/cryptocurrency-whitepapers/DAEX.pdf
